DeTOfaJdBVRQXLEbUMPCWKScINgFHYAGZ,ZAAADAAAeABAOACA..aAEDJAFB..dAGABAHARCCBLDGBUCCB.hABAMAIBCCGA..KDHBSEBBhBAA.IEFAhBEANEFA.gGBAFEGHAGIB.fGHAhBGA...hAHA...,2
NaeXASHURWgfKZBdVCIQLPFETbMOGYcJD,HAAAUAAARADA..gADBZAGBBCDD.dAGA.CCAD.QDAAhADALCCBECHFMBIBGEDAhAAA.JFABaCEDeFFEAEGASFFAhAEAfGGEKGAA...IHHAhAGA.FGCA...hACA....,1
gbHcJTNQMSIUVDLBPXaeZWKERfFdCOAGY,GAAA..YAAAHADAJAHB.TCEAMACAUAGA.DBEAhBIALDCBBCCAXCEChCAAaDAHeDHF.ZFFFKDGAhCBAEGABRFCAFFFAdGEACHHBAFCA........hAAA......hACA...,1
XEeFSbYKZaPfBcVUCMINdQDRgJOTHLAWG,GAAAXAAAEADAFADA..SAFAKAGAZBDA.aAHDBCHA.UDDAhAAACCDAMCFBdEGARGAAgCGGhAAA.TFGAhACAAEIBeHCA..bGAAfGHAIGEADDABhADA.ODCB..hAGA....,1
JUgEDSVMXHFPeLfNRdYWaCQTcBZIbOGKA,UAAAEAAADADAMADA.HAFCeAEALBDBRBCBdBHA...aCBETDFAhAAAZCEBOCHDACBB.SDGDhAIAFECH.fGGAhBAAYEEFWHCGCHDA...QGGAhAIA...hBCA....,1
ORcAMVGXIECWJFaDbTePBYfKLUHgQZdNS,GAAAXAAAEADA.CAFA.FADA.DAGAeAGHBBDDKCDAHBFAZDCAdDHASDDAhAAAODAHAAABMDHBhABA..VFCAJEFBaGHDhBHATGFA..........hACA......hADA....,1
JYGNSRPdZEabKXILBgDHcAFCUOfMeTVWQ,CAAAUAAA.OADAeACA..TAFAQAGAGCAARBDBZCFF.EDBAhBAAaAHD.KCCALDHBhBCADCFBHDFBAEFBFGGHMDIB.hBDAVECB.JHAANIBB.dHEB.IHHA.hBIA......hDAA....,1
HQdDcGTCIBgOZAJSWVEXeNLFMUaPYRbKf,SAAAVAAA.EADAeADE.LAGBFAFDaAHB.RBDBKDHBHCCAQEFChAAAdDAAGDFATFCAhAIACCHABECD.OEEHhAAAABIB.JFHB.NIBB........hCAA......hCFA...,1
NTbSZcLAPFaQIDWfXBgdCUOEVJGRKeHMY,aAAAQAAA.DADAXACDBAFAdAHACAEAUAGA..OBDBhAAAECEFGDFARCEAHEBAMBBBhAEANDIA...TGBAhBAAbFFB.SDDDLHBAAEGAFFHD.fHDFhBGA...hBCA....,2
EQFScfbRBCVDdaIZMKWeLXPHOGUYTANJg,JAAAEAAAFACD..SADB..bADDRAFABCCACAFA.DCFBaAGDhAAAZCGBKCHB..eDEDhAFALEEAHGAAGGEBhAGATFAAAAIB.QFCC.fFHAhAFA....hCAA....,2
EOCJfUQZHbTSNIgVaAPdWKBRMLYGcXFDe,dAAAKAAARACFMADAGAEAFAGD...DAGAEBDA..OBGDCCBA.UEAAhAAAHCEA.TEFA.hACASCHHgEDBhAEAAAIBPDDBLFHB.XGBAeFHF.fGFAhBGA..hBIA....,2
